"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
1852 0.01 1.53629149633811 0 1.26524371954608 0
2752 0.02 1.54385350892365 0 1.26583226128489 0
3479 0.03 1.30938205891691 0 1.26641928450486 0
4101 0.04 1.28237183137873 0 1.26700487284056 0
4652 0.05 1.25867459313924 0 1.26758910992656 0
5145 0.06 1.22413463835036 0 1.26817207939744 0
5589 0.07 1.22413463835036 0 1.26875386488777 0
5991 0.08 1.22413463835036 0 1.26933455003213 0
6354 0.09 1.22413463835036 0 1.2699142184651 0
6682 0.1 1.22413463835036 0 1.27049295382125 0
6977 0.11 1.22413463835036 0 1.27107083973516 0
7242 0.12 1.22413463835036 0 1.2716479598414 0
7479 0.13 1.22413463835036 0 1.27222439777455 0
7689 0.14 1.22413463835036 0 1.27280023716918 0
7876 0.15 1.22413463835036 0 1.27337556165987 0
8041 0.16 1.22413463835036 0 1.2739504548812 0
8185 0.17 1.22413463835036 0 1.27452500046775 0
8311 0.18 1.22413463835036 0 1.27509928205408 0
8420 0.19 1.22413463835036 0 1.27567338327477 0
8513 0.2 1.22413463835036 0 1.2762473877644 0
8592 0.21 1.22413463835036 0 1.27682137915755 0
8658 0.22 1.22413463835036 0 1.27739544108878 0
8713 0.23 1.22413463835036 0 1.27796965719269 0
8758 0.24 1.22413463835036 0 1.27854411110383 0
8793 0.25 1.22413463835036 0 1.27911888645679 0
8817 0.26 1.22413463835036 0 1.27969406688615 0
8831 0.27 1.22413463835036 0 1.28026973602647 0
8836 0.28 1.22413463835036 0 1.28084597751234 0
8833 0.29 1.22413463835036 0 1.28142287497833 0
8824 0.3 1.22413463835036 0 1.28200051205902 0
8809 0.31 1.22413463835036 0 1.28257897238898 0
8791 0.32 1.22888577473648 0 1.28315833960279 0
8769 0.33 1.22888577473648 0 1.28373869733502 0
8743 0.34 1.22888577473648 0 1.28432012922025 0
8716 0.35 1.22888577473648 0 1.28490271889305 0
8685 0.36 1.22888577473648 0 1.285486549988 0
8653 0.37 1.22888577473648 0 1.28607170613969 0
8619 0.38 1.22888577473648 0 1.28665827098267 0
8584 0.39 1.22888577473648 0 1.28724632815153 0
8548 0.4 1.22888577473648 0 1.28783596128085 0
8511 0.41 1.22888577473648 0 1.28842725400519 0
8473 0.42 1.23500761483384 0 1.28902028995914 0
8434 0.43 1.23500761483384 0 1.28961515277727 0
8394 0.44 1.23500761483384 0 1.29021192609416 0
8355 0.45 1.23500761483384 0 1.29081069354438 0
8315 0.46 1.30612799748075 0 1.2914115387625 0
8274 0.47 1.34484106689857 0 1.29201454538311 0
8234 0.48 1.34484106689857 0 1.29261979704078 0
8193 0.49 1.34484106689857 0 1.29322737737009 0
8153 0.5 1.34484106689857 0 1.29383737000561 0
8112 0.51 1.32489673796525 0 1.29444985858191 0
8071 0.52 1.32489673796525 0 1.29506492673357 0
8031 0.53 1.32489673796525 0 1.29568265809518 0
7991 0.54 1.32489673796525 0 1.2963031363013 0
7952 0.55 1.32489673796525 0 1.2969264449865 0
7912 0.56 1.32489673796525 0 1.29755266778538 0
7874 0.57 1.32489673796525 0 1.29818188833249 0
7836 0.58 1.33292951295434 0 1.29881419026242 0
7799 0.59 1.33292951295434 0 1.29944965720974 0
7762 0.6 1.32195953424549 0 1.30008837280904 0
7725 0.61 1.32195953424549 0 1.30073042069487 0
7689 0.62 1.32195953424549 0 1.30137588450183 0
7654 0.63 1.32195953424549 0 1.30202484786448 0
7618 0.64 1.32195953424549 0 1.30267737661808 0
7584 0.65 1.33538208430626 0 1.30333346540063 0
7549 0.66 1.33538208430626 0 1.30399309105081 0
7515 0.67 1.33538208430626 0 1.30465623040728 0
7482 0.68 1.33538208430626 0 1.30532286030872 0
7449 0.69 1.33538208430626 0 1.30599295759381 0
7416 0.7 1.35496248318099 0 1.30666649910122 0
7384 0.71 1.35496248318099 0 1.30734346166964 0
7352 0.72 1.34486381777551 0 1.30802382213772 0
7320 0.73 1.34486381777551 0 1.30870755734416 0
7289 0.74 1.33218059814609 0 1.30939464412762 0
7258 0.75 1.28880670418787 0 1.31008505932677 0
7228 0.76 1.28880670418787 0 1.31077877978031 0
7198 0.77 1.31837535764305 0 1.31147578232689 0
7168 0.78 1.31837535764305 0 1.3121760438052 0
7138 0.79 1.36573251359118 0 1.31287954105391 0
7109 0.8 1.36573251359118 0 1.31358625091169 0
7081 0.81 1.37024337430684 0 1.31429615021723 0
7052 0.82 1.37024337430684 0 1.31500921580919 0
7024 0.83 1.36916239096194 0 1.31572542452626 0
6996 0.84 1.37778259994784 0 1.3164447532071 0
6969 0.85 1.37778259994784 0 1.31716717869039 0
6941 0.86 1.37965213128249 0 1.31789267781482 0
6914 0.87 1.38126753528316 0 1.31862122741904 0
6888 0.88 1.38126753528316 0 1.31935280434175 0
6861 0.89 1.38126753528316 0 1.3200873854216 0
6835 0.9 1.38126753528316 0 1.32082494749729 0
6809 0.91 1.382087630357 0 1.32156546740748 0
6783 0.92 1.382087630357 0 1.32230892199085 0
6758 0.93 1.382087630357 0 1.32305528808608 0
6733 0.94 1.382087630357 0 1.32380454253183 0
6708 0.95 1.382087630357 0 1.32455666216679 0
6683 0.96 1.382087630357 0 1.32531162382964 0
6659 0.97 1.37856990789614 0 1.32606940435903 0
6635 0.98 1.37856990789614 0 1.32682998059366 0
6610 0.99 1.37856990789614 0 1.3275933293722 0
6587 1 1.37856990789614 0 1.32835942753332 0
6358 1.1 1.39709115384622 0 1.33616652969507 0
6148 1.2 1.42169694395754 0 1.34422309265785 0
5953 1.3 1.47711324493883 0 1.35250595509696 0
5771 1.4 1.41215134508611 0 1.36099195568769 0
5602 1.5 1.40719135259858 0 1.36965793310534 0
5442 1.6 1.42273980042466 0 1.37848072602522 0
5290 1.7 1.43585327481905 0 1.38743717312261 0
5148 1.8 1.38770770588043 0 1.39650411307283 0
5014 1.9 1.35892436157949 0 1.40565838455117 0
