"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
2103 0.01 1.48675504257014 0 1.21416115906138 0
3143 0.02 1.31371433521417 0 1.21791336048384 0
3995 0.03 1.27341866415964 0 1.22154184829085 0
4733 0.04 1.24989631183708 0 1.22504874210735 0
5392 0.05 1.2153563570482 0 1.22843616155829 0
5987 0.06 1.2153563570482 0 1.2317062262686 0
6527 0.07 1.2153563570482 0 1.23486105586322 0
7019 0.08 1.2153563570482 0 1.23790276996709 0
7467 0.09 1.2153563570482 0 1.24083348820514 0
7874 0.1 1.2153563570482 0 1.24365533020233 0
8242 0.11 1.2153563570482 0 1.24637041558358 0
8575 0.12 1.2153563570482 0 1.24898086397384 0
8874 0.13 1.2153563570482 0 1.25148879499804 0
9143 0.14 1.2153563570482 0 1.25389632828113 0
9382 0.15 1.2153563570482 0 1.25620558344804 0
9595 0.16 1.2153563570482 0 1.25841868012372 0
9784 0.17 1.2153563570482 0 1.26053773793309 0
9949 0.18 1.2153563570482 0 1.26256487650111 0
10090 0.19 1.2153563570482 0 1.2645022154527 0
10220 0.2 1.2153563570482 0 1.26635187441281 0
10330 0.21 1.2153563570482 0 1.26811597300639 0
10420 0.22 1.2153563570482 0 1.26979663085835 0
10500 0.23 1.2153563570482 0 1.27139596759366 0
10560 0.24 1.2153563570482 0 1.27291610283724 0
10620 0.25 1.2153563570482 0 1.27435915621403 0
10660 0.26 1.2153563570482 0 1.27572724734898 0
10690 0.27 1.2153563570482 0 1.27702249586702 0
10700 0.28 1.2153563570482 0 1.27824702139309 0
10710 0.29 1.2153563570482 0 1.27940294355213 0
10710 0.3 1.2153563570482 0 1.28049238196908 0
10700 0.31 1.2153563570482 0 1.28151745626888 0
10680 0.32 1.22010749343433 0 1.28248028607646 0
10660 0.33 1.22010749343433 0 1.28338299101677 0
10640 0.34 1.22010749343433 0 1.28422769071475 0
10610 0.35 1.22010749343433 0 1.28501650479534 0
10580 0.36 1.22010749343433 0 1.28575155288346 0
10550 0.37 1.22010749343433 0 1.28643495460407 0
10520 0.38 1.22010749343433 0 1.28706882958211 0
10480 0.39 1.22010749343433 0 1.2876552974425 0
10440 0.4 1.22010749343433 0 1.28819647781019 0
10400 0.41 1.22010749343433 0 1.28869449031012 0
10360 0.42 1.22622933353168 0 1.28915145456723 0
10320 0.43 1.22622933353168 0 1.28956949020646 0
10280 0.44 1.22622933353168 0 1.28995071685275 0
10240 0.45 1.22622933353168 0 1.29029725413103 0
10190 0.46 1.29659920435278 0 1.29061122166624 0
10150 0.47 1.33395915973963 0 1.29089473908333 0
10100 0.48 1.33395915973963 0 1.29114992600723 0
10060 0.49 1.33395915973963 0 1.29137890206289 0
10010 0.5 1.33395915973963 0 1.29158378687523 0
9967 0.51 1.31294865338423 0 1.2917667000692 0
9921 0.52 1.31294865338423 0 1.29192976126975 0
9876 0.53 1.31294865338423 0 1.2920750901018 0
9831 0.54 1.31294865338423 0 1.2922048061903 0
9787 0.55 1.31294865338423 0 1.29232102916018 0
9743 0.56 1.31294865338423 0 1.29242587863639 0
9699 0.57 1.31294865338423 0 1.29252147424387 0
9656 0.58 1.32588261197866 0 1.29260993560755 0
9614 0.59 1.32588261197866 0 1.29269338235237 0
9572 0.6 1.3146747659368 0 1.29277393410327 0
9531 0.61 1.3146747659368 0 1.29285371048519 0
9490 0.62 1.3146747659368 0 1.29293483112308 0
9450 0.63 1.3146747659368 0 1.29301941564186 0
9410 0.64 1.3146747659368 0 1.29310922593998 0
9370 0.65 1.33184256489118 0 1.29320459300993 0
9331 0.66 1.33184256489118 0 1.29330549011768 0
9293 0.67 1.33184256489118 0 1.2934118905292 0
9254 0.68 1.33184256489118 0 1.29352376751049 0
9217 0.69 1.33184256489118 0 1.29364109432752 0
9179 0.7 1.34727405690634 0 1.29376384424628 0
9143 0.71 1.34727405690634 0 1.29389199053274 0
9106 0.72 1.33609361479623 0 1.29402550645289 0
9070 0.73 1.33609361479623 0 1.2941643652727 0
9034 0.74 1.31620113709445 0 1.29430854025817 0
8999 0.75 1.26962075853741 0 1.29445800467526 0
8964 0.76 1.26962075853741 0 1.29461273178996 0
8930 0.77 1.29678999763259 0 1.29477269486826 0
8896 0.78 1.29678999763259 0 1.29493786717613 0
8862 0.79 1.34144898698984 0 1.29510822197955 0
8829 0.8 1.34144898698984 0 1.2952837325445 0
8796 0.81 1.35021729002584 0 1.29546437213697 0
8763 0.82 1.35021729002584 0 1.29565011402294 0
8731 0.83 1.34675999224394 0 1.29584093146838 0
8699 0.84 1.35538020122984 0 1.29603679773928 0
8667 0.85 1.35538020122984 0 1.29623768610163 0
8636 0.86 1.3569914306007 0 1.29644356982139 0
8605 0.87 1.36342286342304 0 1.29665442216456 0
8574 0.88 1.36342286342304 0 1.2968702163971 0
