"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
2161 0.01 1.51925014815743 0 1.25217945791382 0
3267 0.02 1.35937248171598 0 1.25376832845665 0
4194 0.03 1.29091009265325 0 1.25532774477023 0
5014 0.04 1.2340299963575 0 1.25685811929047 0
5757 0.05 1.2340299963575 0 1.25835986445331 0
6437 0.06 1.2340299963575 0 1.25983339269468 0
7064 0.07 1.2340299963575 0 1.26127911645049 0
7641 0.08 1.2340299963575 0 1.26269744815669 0
8171 0.09 1.2340299963575 0 1.2640888002492 0
8658 0.1 1.2340299963575 0 1.26545358516394 0
9104 0.11 1.2340299963575 0 1.26679221533685 0
9510 0.12 1.2340299963575 0 1.26810510320385 0
9880 0.13 1.2340299963575 0 1.26939266120088 0
10220 0.14 1.2340299963575 0 1.27065530176385 0
10520 0.15 1.2340299963575 0 1.2718934373287 0
10790 0.16 1.2340299963575 0 1.27310748033136 0
11030 0.17 1.2340299963575 0 1.27429784320776 0
11250 0.18 1.2340299963575 0 1.27546493839381 0
11440 0.19 1.2340299963575 0 1.27660917832546 0
11610 0.2 1.2340299963575 0 1.27773097543863 0
11760 0.21 1.2340299963575 0 1.27883074216925 0
11890 0.22 1.2340299963575 0 1.27990889095324 0
12010 0.23 1.2340299963575 0 1.28096583422654 0
12110 0.24 1.2340299963575 0 1.28200198442507 0
12190 0.25 1.2340299963575 0 1.28301775398476 0
12260 0.26 1.2340299963575 0 1.28401355534154 0
12310 0.27 1.2340299963575 0 1.28498980093133 0
12340 0.28 1.2340299963575 0 1.28594690319008 0
12370 0.29 1.2340299963575 0 1.28688527455369 0
12390 0.3 1.2340299963575 0 1.28780532745811 0
12390 0.31 1.2340299963575 0 1.28870747433926 0
12390 0.32 1.23877592127454 0 1.28959212763307 0
12390 0.33 1.23877592127454 0 1.29045969977546 0
12370 0.34 1.23877592127454 0 1.29131060320237 0
12360 0.35 1.23877592127454 0 1.29214525034972 0
12340 0.36 1.23877592127454 0 1.29296405365345 0
12310 0.37 1.23877592127454 0 1.29376742554947 0
12280 0.38 1.23877592127454 0 1.29455577847372 0
12250 0.39 1.23877592127454 0 1.29532952486213 0
12220 0.4 1.23877592127454 0 1.29608907715062 0
