"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
422.9 0.01 1.26306756557534 0 1.31911948368013 0
567.3 0.02 1.31192510612308 0 1.32226618188278 0
662.8 0.03 1.32955623497709 0 1.3251612464086 0
729 0.04 1.33355798061158 0 1.32780919236651 0
774 0.05 1.36356126520127 0 1.33021453486545 0
802.6 0.06 1.35656788907682 0 1.33238178901438 0
818.3 0.07 1.34626031354123 0 1.33431546992222 0
824.1 0.08 1.34626031354123 0 1.33602009269792 0
822.2 0.09 1.34626031354123 0 1.33750017245043 0
814.5 0.1 1.34626031354123 0 1.33876022428867 0
802.9 0.11 1.35656788907682 0 1.3398047633216 0
788.2 0.12 1.35111590739806 0 1.34063830465815 0
771.5 0.13 1.36356126520127 0 1.34126536340726 0
753.7 0.14 1.36857749057446 0 1.34169045467788 0
736 0.15 1.33355798061158 0 1.34191809357895 0
719.2 0.16 1.3432657826664 0 1.3419527952194 0
703.5 0.17 1.34077324911751 0 1.34179907470817 0
688.5 0.18 1.34055497196838 0 1.34146144715422 0
674.2 0.19 1.34055497196838 0 1.34094442766647 0
660.4 0.2 1.32955623497709 0 1.34025253135387 0
647.3 0.21 1.32175342984835 0 1.33939027332537 0
634.7 0.22 1.32175342984835 0 1.33836216868989 0
622.7 0.23 1.32493539098744 0 1.33717273255639 0
611 0.24 1.32493539098744 0 1.3358264800338 0
599.9 0.25 1.31204854298026 0 1.33432792623106 0
589.1 0.26 1.31151548172111 0 1.33268158625712 0
578.7 0.27 1.31079371034919 0 1.33089197522091 0
568.7 0.28 1.31192510612308 0 1.32896360823138 0
559.1 0.29 1.31236866661556 0 1.32690100039746 0
549.7 0.3 1.3062921965615 0 1.3247086668281 0
540.7 0.31 1.30692025823815 0 1.32239112263224 0
532 0.32 1.30833915511871 0 1.31995288291882 0
523.6 0.33 1.30845282834514 0 1.31739846279678 0
515.4 0.34 1.27587779818367 0 1.31473237737506 0
507.5 0.35 1.27418901940694 0 1.3119591417626 0
499.8 0.36 1.27418901940694 0 1.30908327106834 0
492.4 0.37 1.28045063595435 0 1.30610928040123 0
485.2 0.38 1.28045063595435 0 1.3030416848702 0
478.2 0.39 1.27490628568804 0 1.2998849995842 0
471.4 0.4 1.27490628568804 0 1.29664373965216 0
464.8 0.41 1.26730635531053 0 1.29332242018303 0
458.4 0.42 1.31043225564764 0 1.28992555628574 0
452.1 0.43 1.31043225564764 0 1.28645766306924 0
446 0.44 1.31043225564764 0 1.28292325564248 0
440.1 0.45 1.27945058688824 0 1.27932684911438 0
434.4 0.46 1.36707261852882 0 1.27567295859389 0
428.8 0.47 1.41595510589633 0 1.27196609918995 0
423.3 0.48 1.41595510589633 0 1.26821078601151 0
418 0.49 1.28603984367252 0 1.2644115341675 0
412.8 0.5 1.28603984367252 0 1.26057285876686 0
407.7 0.51 1.19429942826345 0 1.25669927491853 0
402.8 0.52 1.16050672809368 0 1.25279529773147 0
398 0.53 1.15897032820418 0 1.24886544231459 0
393.3 0.54 1.16788556225701 0 1.24491422377686 0
388.8 0.55 1.16725589413733 0 1.2409461572272 0
384.3 0.56 1.18780880147403 0 1.23696575777456 0
380 0.57 1.18780880147403 0 1.23297754052788 0
375.8 0.58 1.21508774651196 0 1.2289860205961 0
371.6 0.59 1.21550930810258 0 1.22499571308816 0
367.6 0.6 1.21299339452556 0 1.22101113311301 0
363.7 0.61 1.21299339452556 0 1.21703679577957 0
359.9 0.62 1.21299339452556 0 1.2130772161968 0
356.1 0.63 1.21299339452556 0 1.20913690947364 0
352.5 0.64 1.21299339452556 0 1.20521962486591 0
348.9 0.65 1.23346311356069 0 1.20132604821701 0
345.4 0.66 1.23346311356069 0 1.19745609951724 0
342 0.67 1.23346311356069 0 1.19360969875688 0
338.6 0.68 1.23346311356069 0 1.18978676592622 0
335.4 0.69 1.23346273315894 0 1.18598722101555 0
332.2 0.7 1.24907838539624 0 1.18221098401516 0
329.1 0.71 1.26261312753547 0 1.17845797491533 0
326 0.72 1.26104600164304 0 1.17472811370637 0
323 0.73 1.23545151436798 0 1.17102132037855 0
320.1 0.74 1.2157814395254 0 1.16733751492217 0
317.2 0.75 1.20640241166501 0 1.16367661732751 0
314.4 0.76 1.13259545141767 0 1.16003854758487 0
311.6 0.77 1.07027787295848 0 1.15642322568453 0
308.9 0.78 1.0450240373754 0 1.15283057161678 0
306.3 0.79 1.05397654080701 0 1.14926050537191 0
303.7 0.8 1.07673678886907 0 1.14571294694021 0
301.1 0.81 1.12443577439315 0 1.14218781631197 0
298.6 0.82 1.12443577439315 0 1.13868503347747 0
296.2 0.83 1.12001234723875 0 1.13520451842702 0
293.8 0.84 1.11884258138633 0 1.13174619115089 0
291.4 0.85 1.12233855363665 0 1.12830997163937 0
289.1 0.86 1.12109336510848 0 1.12489577988276 0
286.9 0.87 1.12256199241772 0 1.12150353587134 0
284.6 0.88 1.12256199241772 0 1.1181331595954 0
282.4 0.89 1.11624697835648 0 1.11478457104524 0
280.3 0.9 1.11624697835648 0 1.11145769021113 0
278.1 0.91 1.1169852749847 0 1.10815243708338 0
276.1 0.92 1.11830879570646 0 1.10486873165226 0
274 0.93 1.11830879570646 0 1.10160649390807 0
272 0.94 1.11830879570646 0 1.0983656438411 0
270 0.95 1.11830879570646 0 1.09514610144163 0
268.1 0.96 1.11830879570646 0 1.09194778669995 0
266.1 0.97 1.11587078738271 0 1.08877061960636 0
264.3 0.98 1.11587078738271 0 1.08561452015114 0
262.4 0.99 1.11587078738271 0 1.08247940832459 0
260.6 1 1.12179778193548 0 1.07936520411698 0
243.8 1.1 1.14274620160421 0 1.04935547894679 0
229.3 1.2 1.08305657158998 0 1.02134850498961 0
216.6 1.3 1.01055524883561 0 0.995264272534484 0
205.5 1.4 0.89802362373091 0 0.971022771870452 0
195.5 1.5 0.935121645170754 0 0.948543993286559 0
186.6 1.6 0.957379872330372 0 0.927747927071851 0
178.6 1.7 0.964448883198919 0 0.908554563515369 0
171.2 1.8 0.940238504225849 0 0.890883892906159 0.0723440016424135
164.6 1.9 0.854869758880752 0.114530633034967 0.874655905533263 0.0767862575727487
158.5 2 0.733814601751187 0.165873815613467 0.859790591685727 0.0810133512461132
152.9 2.1 0.770136828961255 0.15037424845892 0.846207941652593 0.0850350372571958
147.7 2.2 0.799065619332272 0.138452515684193 0.833827945722905 0.0888610702006854
142.9 2.3 0.94896529349109 0.0334304587896558 0.822570594185708 0.0925012046712705
138.5 2.4 0.844694332079288 0.105092443552353 0.812355877330045 0.0959651952636402
134.3 2.5 0.863707446298874 0.10152862936262 0.80310378544496 0.0992627965724831
130.4 2.6 0.877660517684787 0.0888282197830821 0.794734308819496 0.102403763192488
126.8 2.7 0.782314394753739 0.138530061387396 0.787167437742698 0.105397849718344
123.3 2.8 0.763607831838983 0.154199753261277 0.780323162503609 0.108254810744739
120.1 2.9 0.770131338614635 0.152101081275922 0.774121473391274 0.110984400866363
117.1 3 0.731918646345731 0.165724637304708 0.768482360694735 0.113596374677903
114.2 3.1 0.74105469911515 0.167821248794044 0.763325814703038 0.11610048677405
111.5 3.2 0.718131464641566 0.171584581412985 0.758571825705224 0.118506491749491
108.9 3.3 0.650475128064877 0.193572728060784 0.754140383990339 0.120824144198916
106.5 3.4 0.705283970180258 0.179612361613775 0.749951479847427 0.123063198717013
104.1 3.5 0.705283970180258 0.179612361613775 0.745925103565531 0.125233409898471
101.9 3.6 0.710680804316733 0.187393031948834 0.741994369565893 0.127343063440643
99.79 3.7 0.710680804316733 0.187393031948834 0.738144888798555 0.129394569451534
97.76 3.8 0.685133470978097 0.181500583444753 0.734375396345752 0.131388869141814
95.83 3.9 0.652536526726304 0.188160145363085 0.730684627289726 0.133326903722152
93.98 4 0.709809444769748 0.16737200751376 0.727071316712714 0.135209614403219
92.21 4.1 0.72059380581949 0.160312916654952 0.723534199696955 0.137037942395685
90.51 4.2 0.683428752690754 0.169794072458539 0.720072011324687 0.138812828910218
88.88 4.3 0.70270477862257 0.157846532897587 0.716683486678149 0.140535215157488
87.31 4.4 0.704882557497553 0.157316423939902 0.713367360839579 0.142206042348165
85.8 4.5 0.704882557497553 0.157316423939902 0.710122368891216 0.14382625169292
84.35 4.6 0.704882557497553 0.157316423939902 0.706947245915299 0.14539678440242
82.96 4.7 0.690086834268577 0.156951782434105 0.703840726994066 0.146918581687336
81.61 4.8 0.693853562170436 0.144966790221857 0.700801547209756 0.148392584758338
80.31 4.9 0.693853562170436 0.144966790221857 0.697828441644607 0.149819734826096
79.06 5 0.659035864359427 0.157818640407916 0.694920145380858 0.151200973101278
77.84 5.1 0.665605792591327 0.156619390432605 0.692075393500748 0.152537240794555
