"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
703 0.01 1.76286010126556 0 1.57994400523322 0
1009 0.02 1.72381954665711 0 1.57250843688988 0
1240 0.03 1.69506646393416 0 1.56559637263272 0
1426 0.04 1.61645190622811 0 1.55919791213082 0
1582 0.05 1.57451286314973 0 1.55330315505327 0
1713 0.06 1.51275359609053 0 1.54790220106915 0
1824 0.07 1.51666944353355 0 1.54298514984754 0
1918 0.08 1.51343068540037 0 1.53854210105753 0
1997 0.09 1.51634738058953 0 1.53456315436819 0
2062 0.1 1.49646097637091 0 1.53103840944861 0
2116 0.11 1.48675504257014 0 1.52795796596787 0
2160 0.12 1.48675504257014 0 1.52531192359505 0
2194 0.13 1.48675504257014 0 1.52309038199923 0
2221 0.14 1.45814470188135 0 1.5212834408495 0
2240 0.15 1.45814470188135 0 1.51988119981493 0
2253 0.16 1.45814470188135 0 1.51887375856461 0
2260 0.17 1.45814470188135 0 1.51825121676762 0
2263 0.18 1.45814470188135 0 1.51800367409305 0
2261 0.19 1.45814470188135 0 1.51812123020997 0
2256 0.2 1.45814470188135 0 1.51859398478746 0
2248 0.21 1.45814470188135 0 1.51941203749461 0
2236 0.22 1.45814470188135 0 1.5205654880005 0
2223 0.23 1.45814470188135 0 1.52204443597421 0
2207 0.24 1.45814470188135 0 1.52383898108483 0
2190 0.25 1.48675504257014 0 1.52593922300143 0
2171 0.26 1.48675504257014 0 1.52833526139309 0
2151 0.27 1.48675504257014 0 1.53101719592891 0
2128 0.28 1.48675504257014 0 1.53397512627796 0
2105 0.29 1.48675504257014 0 1.53719915210931 0
2081 0.3 1.49646097637091 0 1.54067937309207 0
2056 0.31 1.49646097637091 0 1.5444058888953 0
2031 0.32 1.50121814219157 0 1.54836879918808 0
2007 0.33 1.50121814219157 0 1.55255820363951 0
1982 0.34 1.52110454641031 0 1.55696420191866 0
1957 0.35 1.52110454641031 0 1.56157689369461 0
1933 0.36 1.51832158004343 0 1.56638637863644 0
1908 0.37 1.51846221228163 0 1.57138275641325 0
1884 0.38 1.51846221228163 0 1.5765561266941 0
1860 0.39 1.51846221228163 0 1.58189658914809 0
1837 0.4 1.52170097041481 0 1.58739424344428 0
1814 0.41 1.52170097041481 0 1.59303918925177 0
1791 0.42 1.56495233443536 0 1.59882152623964 0
1769 0.43 1.56495233443536 0 1.60473135407697 0
1747 0.44 1.56747291530478 0 1.61075877243283 0
1725 0.45 1.56747291530478 0 1.61689388097632 0
1704 0.46 1.63486618917924 0 1.62312677937651 0
1683 0.47 1.69393152013774 0 1.62944756730249 0
1663 0.48 1.69393152013774 0 1.63584634442333 0
1643 0.49 1.73412067299953 0 1.64231321040813 0
1624 0.5 1.73412067299953 0 1.64883826492595 0
1605 0.51 1.71504048551356 0 1.65541160764589 0
1586 0.52 1.71504048551356 0 1.66202333823702 0
1568 0.53 1.76667643228878 0 1.66866355636844 0
1550 0.54 1.76667643228878 0 1.6753223617092 0
1532 0.55 1.76667643228878 0 1.68198985392841 0
1515 0.56 1.76667643228878 0 1.68865613269514 0
1498 0.57 1.76667643228878 0 1.69531129767848 0
1482 0.58 1.78607056574269 0 1.7019454485475 0
1466 0.59 1.78607056574269 0 1.70854868497129 0
1451 0.6 1.76681660494267 0 1.71511110661893 0
1436 0.61 1.76681660494267 0 1.7216228131595 0
1421 0.62 1.75850688406968 0 1.72807390426208 0
