"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
422.9 0.01 0.862117100939946 0.0746158392168047 1.20096485333661 0.00280421587272397
567.3 0.02 1.1302859124314 0 1.19573510448886 0.00340074603654693
662.8 0.03 1.09348440176287 0 1.19041423565563 0.00399026292886643
729 0.04 1.11302023061188 0 1.1850045742772 0.00457282774851031
774 0.05 1.15455376822561 0 1.17950844779382 0.00514850169430639
802.6 0.06 1.11208312613834 0.0263699051623039 1.17392818364575 0.0057173459650825
818.3 0.07 1.25856949754073 0 1.16826610927327 0.00627942175966648
824.1 0.08 1.25856949754073 0 1.16252455211662 0.00683479027688613
822.2 0.09 1.25856949754073 0 1.15670583961608 0.0073835127155693
814.5 0.1 1.25856949754073 0 1.1508122992119 0.00792565027454381
802.9 0.11 1.11208312613834 0.0263699051623039 1.14484625834435 0.00846126415263749
788.2 0.12 1.14183848736958 0.0131310466563952 1.1388100444537 0.00899041554867816
771.5 0.13 1.15455376822561 0 1.13270598498019 0.00951316566149366
753.7 0.14 1.20459279496368 0 1.1265364073641 0.0100295756899118
736 0.15 1.11302023061188 0 1.12030363904568 0.0105397068327604
719.2 0.16 1.16891977089765 0 1.11401000746521 0.0110436202888674
703.5 0.17 1.14924677372415 0 1.10765784006294 0.0115413772570604
688.5 0.18 1.14631792307405 0 1.10124946427913 0.0120330389361674
674.2 0.19 1.14631792307405 0 1.09478720755405 0.0125186665250163
660.4 0.2 1.09348440176287 0 1.08827339732796 0.0129983212224347
647.3 0.21 1.05219581224868 0.0095650513091462 1.08171036104112 0.0134720642272505
634.7 0.22 1.05219581224868 0.0095650513091462 1.07510042613379 0.0139399567382917
622.7 0.23 1.07792946940114 0.00206767591935393 1.06844592004624 0.0144020599543859
611 0.24 1.07792946940114 0.00206767591935393 1.06174917021873 0.0148584350743611
599.9 0.25 1.08786145984326 0 1.05501250409152 0.015309143297045
589.1 0.26 1.08809934372474 0 1.04823824910487 0.0157542458212655
578.7 0.27 1.12046516236077 0 1.04142873269905 0.0161938038458504
568.7 0.28 1.1302859124314 0 1.03458628231432 0.0166278785696275
559.1 0.29 1.12132835801667 0.00265728961150677 1.02771322539094 0.0170565311914247
549.7 0.3 1.08210348481133 0.014106861281981 1.02081188936917 0.0174798229100698
540.7 0.31 1.12609306108112 0.00226782783333883 1.01388460168927 0.0178978149243906
532 0.32 1.14062723474335 0 1.00693368979152 0.0183105684332149
523.6 0.33 1.14285792632293 0 0.999961481116161 0.0187181446353707
515.4 0.34 1.11406908336486 0 0.992970303103468 0.0191206047296856
507.5 0.35 1.08765731561246 0 0.985962483193699 0.0195180099149875
499.8 0.36 1.08765731561246 0 0.978940348827118 0.0199104213901043
492.4 0.37 1.08815626158785 0 0.971906227443986 0.0202979003538638
485.2 0.38 1.08815626158785 0 0.964862446484566 0.0206805080050938
478.2 0.39 1.08816777347331 0 0.957811333389121 0.0210583055426221
471.4 0.4 1.08816777347331 0 0.950755215597912 0.0214313541652766
464.8 0.41 1.07233677471333 0 0.943696420551202 0.0217997150718851
458.4 0.42 1.09556425029295 0 0.936637275689254 0.0221634494612754
452.1 0.43 1.09556425029295 0 0.929580108452331 0.0225226185322753
446 0.44 1.09556425029295 0 0.922527246280692 0.0228772834837128
440.1 0.45 0.950281189453143 0.0315738920608392 0.915481016614603 0.0232275055144155
434.4 0.46 0.997295660047758 0.0169830186329868 0.908443746894325 0.0235733458232114
428.8 0.47 1.05701504652042 0.0371862800361843 0.90141776456012 0.0239148656089282
423.3 0.48 1.05701504652042 0.0371862800361843 0.894405397052251 0.0242521260703938
418 0.49 0.808732291672359 0.0590653715760931 0.887408971810981 0.024585188406436
412.8 0.5 0.808732291672359 0.0590653715760931 0.88043081627657 0.0249141138158826
407.7 0.51 0.648521578867852 0.0637780743329886 0.873473257889283 0.0252389634975615
402.8 0.52 0.671676029936829 0.042561406591838 0.866538624089381 0.0255597986503005
