"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
703 0.01 1.14924677372415 0 0.767641720115202 0.107347222083165
1009 0.02 1.19454109940751 0 0.777053122133587 0.105027745272177
1240 0.03 1.2486652507841 0 0.78629907674437 0.102784916493813
1426 0.04 1.13166596741799 0.0231032358621126 0.795381557609511 0.100617473349997
1582 0.05 0.880686814593015 0.0865246014037666 0.804302538390971 0.098524153442651
1713 0.06 1.01573951671073 0.0416098422311817 0.81306399275071 0.0965036943736986
1824 0.07 1.0312122247811 0.0473925481914911 0.821667894350687 0.0945548337450629
1918 0.08 0.846832048817859 0.0874669593201476 0.830116216852863 0.0926763091586669
1997 0.09 0.852696649131719 0.0850872725013213 0.838410933919197 0.0908668582164338
2062 0.1 0.856209654127245 0.080090444992316 0.846554019211649 0.0891252185202867
2116 0.11 0.604694819648223 0.163254000234363 0.85454744639218 0.0874501276721486
2160 0.12 0.604694819648223 0.163254000234363 0.862393189122749 0.0858403232739427
2194 0.13 0.604694819648223 0.163254000234363 0.870093221065316 0.0842945429275922
2221 0.14 0.646991739676215 0.139762314135563 0.877649515881841 0.0828115242350201
2240 0.15 0.646991739676215 0.139762314135563 0.885064047234284 0.0813900047981495
2253 0.16 0.646991739676215 0.139762314135563 0.892338788784605 0.0800287222189036
2260 0.17 0.646991739676215 0.139762314135563 0.899475714194765 0.0787264140992054
2263 0.18 0.646991739676215 0.139762314135563 0.906476797126722 0.0774818180409781
2261 0.19 0.646991739676215 0.139762314135563 0.913344011242437 0.0762936716461448
2256 0.2 0.646991739676215 0.139762314135563 0.92007933020387 0.0751607125166285
2248 0.21 0.646991739676215 0.139762314135563 0.926684727672981 0.0740816782543524
2236 0.22 0.646991739676215 0.139762314135563 0.93316217731173 0.0730553064612396
2223 0.23 0.646991739676215 0.139762314135563 0.939513652782076 0.0720803347392133
2207 0.24 0.646991739676215 0.139762314135563 0.94574112774598 0.0711555006901964
2190 0.25 0.604694819648223 0.163254000234363 0.951846575865401 0.0702795419161122
2171 0.26 0.604694819648223 0.163254000234363 0.957831970802301 0.0694511960188837
2151 0.27 0.604694819648223 0.163254000234363 0.963699286218637 0.0686692006004341
2128 0.28 0.604694819648223 0.163254000234363 0.969450495776372 0.0679322932626864
2105 0.29 0.604694819648223 0.163254000234363 0.975087573137463 0.0672392116075638
2081 0.3 0.856209654127245 0.080090444992316 0.980612491963872 0.0665886932369894
2056 0.31 0.856209654127245 0.080090444992316 0.986027225917558 0.0659794757528863
