"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
1852 0.01 1.88669112239001 0 1.3010417171935 0.00721128550882034
2752 0.02 1.82848103704645 0 1.2996746205934 0.00608454364759562
3479 0.03 1.48925900635736 0 1.29830465827947 0.00501442703180714
4101 0.04 1.38151087257778 0 1.29693219434864 0.00399995216185336
4652 0.05 1.24675878825207 0 1.29555759289781 0.00304013553813277
5145 0.06 1.17489293581219 0 1.29418121802388 0.00213399366104381
5589 0.07 1.17489293581219 0 1.29280343382377 0.00128054303098497
5991 0.08 1.17489293581219 0 1.29142460439439 0.000478800148354714
6354 0.09 1.17489293581219 0 1.29004509383265 -0.000272218486448495
6682 0.1 1.17489293581219 0 1.28866526623545 -0.000973496373026185
6977 0.11 1.17489293581219 0 1.2872854856997 -0.00162601701097989
7242 0.12 1.17489293581219 0 1.28590611632232 -0.00223076389991114
7479 0.13 1.17489293581219 0 1.28452752220022 -0.00278872053942147
7689 0.14 1.17489293581219 0 1.2831500674303 -0.0033008704291124
7876 0.15 1.17489293581219 0 1.28177411610947 -0.00376819706858547
8041 0.16 1.17489293581219 0 1.28040003233465 -0.00419168395744222
8185 0.17 1.17489293581219 0 1.27902818020273 -0.00457231459528417
8311 0.18 1.17489293581219 0 1.27765892381064 -0.00491107248171286
8420 0.19 1.17489293581219 0 1.27629262725528 -0.00520894111632981
8513 0.2 1.17489293581219 0 1.27492965463356 -0.00546690399873656
8592 0.21 1.17489293581219 0 1.27357037004238 -0.00568594462853465
8658 0.22 1.17489293581219 0 1.27221513757867 -0.00586704650532559
8713 0.23 1.17489293581219 0 1.27086432133932 -0.00601119312871093
8758 0.24 1.17489293581219 0 1.26951828542125 -0.0061193679982922
8793 0.25 1.17489293581219 0 1.26817739392137 -0.00619255461367092
8817 0.26 1.17489293581219 0 1.26684201093659 -0.00623173647444863
8831 0.27 1.17489293581219 0 1.26551250056381 -0.00623789708022687
8836 0.28 1.17489293581219 0 1.26418922689994 -0.00621201993060715
8833 0.29 1.17489293581219 0 1.2628725540419 -0.00615508852519102
8824 0.3 1.17489293581219 0 1.2615628460866 -0.00606808636358001
8809 0.31 1.17489293581219 0 1.26026046713093 -0.00595199694537564
8791 0.32 1.18898533927016 0 1.25896578127182 -0.00580780377017945
8769 0.33 1.18898533927016 0 1.25767915260618 -0.00563649033759297
8743 0.34 1.18898533927016 0 1.2564009452309 -0.00543904014721774
8716 0.35 1.18898533927016 0 1.2551315232429 -0.00521643669865528
8685 0.36 1.18898533927016 0 1.2538712507391 -0.00496966349150713
8653 0.37 1.18898533927016 0 1.25262049181639 -0.00469970402537481
8619 0.38 1.18898533927016 0 1.2513796105717 -0.00440754179985987
8584 0.39 1.18898533927016 0 1.25014897110192 -0.00409416031456382
8548 0.4 1.18898533927016 0 1.24892893750397 -0.00376054306908821
8511 0.41 1.18898533927016 0 1.24771987387475 -0.00340767356303457
8473 0.42 1.20507782786797 0 1.24652214431119 -0.00303653529600442
8434 0.43 1.20507782786797 0 1.24533611291018 -0.0026481117675993
8394 0.44 1.20507782786797 0 1.24416214376863 -0.00224338647742073
8355 0.45 1.20507782786797 0 1.24300060098346 -0.00182334292507026
8315 0.46 1.22101231721759 0 1.24185184865158 -0.00138896461014942
8274 0.47 1.2760302815732 0 1.24071625086988 -0.000941235032259725
8234 0.48 1.2760302815732 0 1.23959417173529 -0.00048113769100272
8193 0.49 1.2760302815732 0 1.23848597534472 -9.65608597993357e-06
8153 0.5 1.2760302815732 0 1.23739202579506 0.000472226283207105
8112 0.51 1.24729288191088 0 1.23631268718324 0.000963525916956856
8071 0.52 1.24729288191088 0 1.23524832360615 0.0014632593156678
8031 0.53 1.24729288191088 0 1.23419929916072 0.0019704429797384
7991 0.54 1.24729288191088 0 1.23316597794385 0.00248409340956712
7952 0.55 1.24729288191088 0 1.23214872405244 0.00300322710555243
7912 0.56 1.24729288191088 0 1.23114790158341 0.00352686056809279
7874 0.57 1.24729288191088 0 1.23016387463367 0.00405401029758669
7836 0.58 1.26913255136645 0 1.22919700730013 0.00458369279443259
7799 0.59 1.26913255136645 0 1.22824766367969 0.00511492455902895
7762 0.6 1.25034221031464 0 1.22731620786927 0.00564672209177424
7725 0.61 1.25034221031464 0 1.22640300396578 0.00617810189306693
7689 0.62 1.25034221031464 0 1.22550841606612 0.0067080804633055
7654 0.63 1.25034221031464 0 1.2246328082672 0.0072356743028884
7618 0.64 1.25034221031464 0 1.22377647019013 0.00776006573030889
7584 0.65 1.25362578913851 0 1.2229393935528 0.00828110033643938
