"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
2103 0.01 1.75093617437769 0.0147847609451827 1.25702124427203 0.00942742690458289
3143 0.02 1.48547170784876 0 1.26535343480075 0.00807656855836715
3995 0.03 1.45276987327736 0 1.27328159564714 0.00679832163952755
4733 0.04 1.32523620220789 0 1.28081290911589 0.00559141834002339
5392 0.05 1.25333013151745 0 1.28795455751168 0.00445459085181401
5987 0.06 1.25333013151745 0 1.2947137231392 0.00338657136685871
6527 0.07 1.25333013151745 0 1.30109758830313 0.00238609207711683
7019 0.08 1.25333013151745 0 1.30711333530816 0.00145188517454768
7467 0.09 1.25333013151745 0 1.31276814645897 0.000582682851110567
7874 0.1 1.25333013151745 0 1.31806920406025 -0.000222782701235167
8242 0.11 1.25333013151745 0 1.32302369041668 -0.000965779290530213
8575 0.12 1.25333013151745 0 1.32763878783295 -0.00164757472481525
8874 0.13 1.25333013151745 0 1.33192167861375 -0.00226943681213096
9143 0.14 1.25333013151745 0 1.33587954506375 -0.00283263336051801
9382 0.15 1.25333013151745 0 1.33951956948766 -0.0033384321780171
9595 0.16 1.25333013151745 0 1.34284893419014 -0.0037881010726689
9784 0.17 1.25333013151745 0 1.34587482147589 -0.00418290785251408
9949 0.18 1.25333013151745 0 1.34860441364959 -0.00452412032559335
10090 0.19 1.25333013151745 0 1.35104489301593 -0.00481300629994735
10220 0.2 1.25333013151745 0 1.35320344187959 -0.00505083358361679
10330 0.21 1.25333013151745 0 1.35508724254526 -0.00523886998464234
10420 0.22 1.25333013151745 0 1.35670347731762 -0.00537838331106469
10500 0.23 1.25333013151745 0 1.35805932850136 -0.0054706413709245
10560 0.24 1.25333013151745 0 1.35916197840117 -0.00551691197226246
10620 0.25 1.25333013151745 0 1.36001860932173 -0.00551846292311926
10660 0.26 1.25333013151745 0 1.36063640356772 -0.00547656203153556
10690 0.27 1.25333013151745 0 1.36102254344383 -0.00539247710555205
10700 0.28 1.25333013151745 0 1.36118421125475 -0.00526747595320942
10710 0.29 1.25333013151745 0 1.36112858930516 -0.00510282638254834
10710 0.3 1.25333013151745 0 1.36086285989975 -0.00489979620160949
10700 0.31 1.25333013151745 0 1.3603942053432 -0.00465965321843354
10680 0.32 1.26742253497541 0 1.3597298079402 -0.00438366524106119
10660 0.33 1.26742253497541 0 1.35887684999543 -0.00407310007753311
10640 0.34 1.26742253497541 0 1.35784251381358 -0.00372922553588998
10610 0.35 1.26742253497541 0 1.35663398169934 -0.00335330942417249
10580 0.36 1.26742253497541 0 1.35525843595738 -0.0029466195504213
10550 0.37 1.26742253497541 0 1.3537230588924 -0.00251042372267711
10520 0.38 1.26742253497541 0 1.35203503280908 -0.00204598974898059
10480 0.39 1.26742253497541 0 1.35020154001211 -0.00155458543737241
10440 0.4 1.26742253497541 0 1.34822976280617 -0.00103747859589327
10400 0.41 1.26742253497541 0 1.34612688349594 -0.000495937032583846
10360 0.42 1.28157581696054 0 1.34390008438612 6.87714445151942e-05
10320 0.43 1.28157581696054 0 1.34155654778139 0.000655379027363157
10280 0.44 1.28157581696054 0 1.33910345598643 0.00126261790791937
10240 0.45 1.28157581696054 0 1.33654799130592 0.00188922027814316
10190 0.46 1.29751030631016 0 1.33389733604457 0.00253391832999383
10150 0.47 1.35252827066578 0 1.33115867250704 0.00319544425543071
10100 0.48 1.35252827066578 0 1.32833918299802 0.00387253024641312
10060 0.49 1.35252827066578 0 1.32544604982221 0.00456390849490038
10010 0.5 1.35252827066578 0 1.32248645528428 0.0052683111928518
9967 0.51 1.3192360991213 0 1.31946758168893 0.00598447053222671
9921 0.52 1.3192360991213 0 1.31639661134083 0.00671111870498444
9876 0.53 1.3192360991213 0 1.31328072654467 0.00744698790308429
9831 0.54 1.3192360991213 0 1.31012710960514 0.00819081031848559
9787 0.55 1.3192360991213 0 1.30694294282693 0.00894131814314766
9743 0.56 1.3192360991213 0 1.30373540851471 0.0096972435690298
9699 0.57 1.3192360991213 0 1.30051168897318 0.0104573187880914
9656 0.58 1.33853570292017 0 1.29727896650701 0.0112202759922917
9614 0.59 1.33853570292017 0 1.2940444234209 0.01198484737359
9572 0.6 1.32054042585092 0 1.29081524201953 0.0127497651239457
9531 0.61 1.32054042585092 0 1.28759860460759 0.0135137614353181
