"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
2161 0.01 1.71830624290117 0 1.1814470732264 0.0152613442207631
3267 0.02 1.50748351603001 0 1.18992436137295 0.0130936929837811
4194 0.03 1.3813606074835 0 1.1980098819302 0.011029612339356
5014 0.04 1.17474267071791 0 1.20571053714919 0.00906728840933994
5757 0.05 1.17474267071791 0 1.21303322928094 0.00720490731558499
6437 0.06 1.17474267071791 0 1.21998486057649 0.00544065517994334
7064 0.07 1.17474267071791 0 1.22657233328685 0.00377271812426715
7641 0.08 1.17474267071791 0 1.23280254966307 0.00219928227040857
8171 0.09 1.17474267071791 0 1.23868241195616 0.000718533740219741
8658 0.1 1.17474267071791 0 1.24421882241717 -0.000671341344447165
9104 0.11 1.17474267071791 0 1.24941868329712 -0.00197215686174
9510 0.12 1.17474267071791 0 1.25428889684703 -0.00318572668980663
9880 0.13 1.17474267071791 0 1.25883636531794 -0.00431386470679488
10220 0.14 1.17474267071791 0 1.26306799096087 -0.00535838479085261
10520 0.15 1.17474267071791 0 1.26699067602687 -0.00632110082012766
10790 0.16 1.17474267071791 0 1.27061132276694 -0.00720382667276788
11030 0.17 1.17474267071791 0 1.27393683343213 -0.00800837622692111
11250 0.18 1.17474267071791 0 1.27697411027346 -0.00873656336073522
11440 0.19 1.17474267071791 0 1.27973005554197 -0.00939020195235803
11610 0.2 1.17474267071791 0 1.28221157148867 -0.00997110587993741
11760 0.21 1.17474267071791 0 1.28442556036461 -0.0104810890216212
11890 0.22 1.17474267071791 0 1.2863789244208 -0.0109219652555572
12010 0.23 1.17474267071791 0 1.28807856590829 -0.0112955484598934
12110 0.24 1.17474267071791 0 1.28953138707809 -0.0116036525127775
12190 0.25 1.17474267071791 0 1.29074429018124 -0.0118480912923573
12260 0.26 1.17474267071791 0 1.29172417746876 -0.0120306786767809
12310 0.27 1.17474267071791 0 1.29247795119169 -0.0121532285441959
12340 0.28 1.17474267071791 0 1.29301251360106 -0.0122175547727503
12370 0.29 1.17474267071791 0 1.29333476694789 -0.0122254712405918
12390 0.3 1.17474267071791 0 1.29345161348321 -0.0121787918258684
12390 0.31 1.17474267071791 0 1.29336995545805 -0.0120793304067279
