"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
422.9 0.01 1.76005278398445 0.0244946021626261 2.08704562668275 -0.00781403196758855
567.3 0.02 2.03297089715578 0 2.07638910412801 -0.00742972263949219
662.8 0.03 1.98317816318531 0 2.06578381815176 -0.00704707341901999
729 0.04 2.00449607515318 0 2.05522964328808 -0.00666608026819538
774 0.05 2.02107541126516 0 2.04472645407103 -0.00628673914904182
802.6 0.06 2.00370065827727 0 2.03427412503467 -0.00590904602358272
818.3 0.07 2.09700637926325 0 2.02387253071307 -0.00553299685384154
824.1 0.08 2.09700637926325 0 2.01352154564029 -0.00515858760184171
822.2 0.09 2.09700637926325 0 2.00322104435041 -0.00478581422960667
814.5 0.1 2.09700637926325 0 1.99297090137748 -0.00441467269915986
802.9 0.11 2.00370065827727 0 1.98277099125557 -0.00404515897252473
788.2 0.12 2.02008267448437 0 1.97262118851875 -0.00367726901172471
771.5 0.13 2.02107541126516 0 1.96252136770109 -0.00331099877878323
753.7 0.14 2.08255067801343 0 1.95247140333664 -0.00294634423572374
736 0.15 2.00449607515318 0 1.94247116995948 -0.00258330134456968
719.2 0.16 2.06300018657518 0 1.93252054210368 -0.00222186606734449
703.5 0.17 2.04360915171676 0 1.92261939430329 -0.00186203436607161
688.5 0.18 2.03998541541992 0 1.91276760109238 -0.00150380220277448
674.2 0.19 2.03998541541992 0 1.90296503700502 -0.00114716553947653
660.4 0.2 1.98317816318531 0 1.89321157657528 -0.000792120338201203
647.3 0.21 1.97152630831613 0 1.88350709433722 -0.000438662560971944
634.7 0.22 1.97152630831613 0 1.8738514648249 -8.678816981219e-05
622.7 0.23 1.9767158111263 0 1.8642445625724 0.000263506873254622
611 0.24 1.9767158111263 0 1.85468626211377 0.00061222660620505
599.9 0.25 1.97943920866037 0 1.84517643798309 0.000959375067015654
589.1 0.26 1.97943920866037 0 1.83571496471442 0.001304956293663
578.7 0.27 2.02336521501957 0 1.82630171684182 0.00164897432412364
568.7 0.28 2.03297089715578 0 1.81693656889937 0.00199143319637414
559.1 0.29 2.03198280485683 0 1.80761939542112 0.00233233694839106
549.7 0.3 2.01246216010152 0 1.79835007094115 0.00267168961815097
540.7 0.31 2.02720743049788 0 1.78912846999351 0.00300949524363041
532 0.32 2.04173013823283 0 1.77995446711228 0.00334575786280595
523.6 0.33 2.04380116478951 0 1.77082793683152 0.00368048151365416
515.4 0.34 1.96779779126708 0 1.76174875368529 0.00401367023415159
