"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
703 0.01 2.04360915171676 0 1.82053480314191 0.0179743607433417
1009 0.02 2.04738955470729 0 1.82330350973067 0.0166069578707177
1240 0.03 2.0492087301319 0 1.82615328100097 0.0152985077018762
1426 0.04 1.98247577580925 0 1.82908175492644 0.0140480128424664
1582 0.05 1.88588816335873 0 1.83208656948071 0.0128544758981379
1713 0.06 1.92821107644856 0 1.83516536263741 0.0117168994745398
1824 0.07 1.95637858655826 0 1.83831577237016 0.0106342861773216
1918 0.08 1.90072773141217 0 1.84153543665259 0.00960563861213253
1997 0.09 1.90022858244958 0 1.84482199345833 0.00862995938462203
2062 0.1 1.8948440827922 0 1.84817308076101 0.00770625110043942
2116 0.11 1.75093617437769 0.0147847609451827 1.85158633653425 0.00683351636523403
2160 0.12 1.75093617437769 0.0147847609451827 1.85505939875169 0.00601075778465522
2194 0.13 1.75093617437769 0.0147847609451827 1.85858990538695 0.00523697796435233
2221 0.14 1.71309181862147 0.0211427003908587 1.86217549441365 0.00451117950997471
2240 0.15 1.71309181862147 0.0211427003908587 1.86581380380544 0.00383236502717169
2253 0.16 1.71309181862147 0.0211427003908587 1.86950247153592 0.00319953712159264
2260 0.17 1.71309181862147 0.0211427003908587 1.87323913557874 0.00261169839888689
2263 0.18 1.71309181862147 0.0211427003908587 1.87702143390752 0.00206785146470378
2261 0.19 1.71309181862147 0.0211427003908587 1.88084700449589 0.00156699892469267
2256 0.2 1.71309181862147 0.0211427003908587 1.88471348531747 0.0011081433845029
2248 0.21 1.71309181862147 0.0211427003908587 1.88861851434589 0.000690287449783819
2236 0.22 1.71309181862147 0.0211427003908587 1.89255972955479 0.000312433726184766
2223 0.23 1.71309181862147 0.0211427003908587 1.89653476891778 -2.64151806449065e-05
2207 0.24 1.71309181862147 0.0211427003908587 1.90054127040851 -0.000327256665055858
2190 0.25 1.75093617437769 0.0147847609451827 1.90457687200058 -0.000591088121398741
2171 0.26 1.75093617437769 0.0147847609451827 1.90863921166764 -0.000818906944024207
2151 0.27 1.75093617437769 0.0147847609451827 1.91272592738331 -0.00101171052728291
2128 0.28 1.75093617437769 0.0147847609451827 1.91683465712122 -0.00117049626552552
2105 0.29 1.75093617437769 0.0147847609451827 1.92096303885499 -0.00129626155310267
2081 0.3 1.8948440827922 0 1.92510871055826 -0.00139000378436502
2056 0.31 1.8948440827922 0 1.92926931020465 -0.00145272035366323
2031 0.32 1.90852677371778 0 1.93344247576779 -0.00148540865534795
2007 0.33 1.90852677371778 0 1.93762584522131 -0.00148906608376983
1982 0.34 1.91391127337516 0 1.94181705653883 -0.00146469003327953
1957 0.35 1.91391127337516 0 1.94601374769398 -0.00141327789822771
1933 0.36 1.9166757918005 0 1.9502135566604 -0.00133582707296502
1908 0.37 1.91441042233775 0 1.9544141214117 -0.00123333495184211
1884 0.38 1.91441042233775 0 1.95861307992152 -0.00110679892920964
1860 0.39 1.91441042233775 0 1.96280807016349 -0.000957216399418251
1837 0.4 1.97006127748384 0 1.96699673011122 -0.000785584756818611
1814 0.41 1.97006127748384 0 1.97117669773836 -0.000592901395761376
1791 0.42 1.99000466790477 0 1.97534561101852 -0.000380163710597192
1769 0.43 1.99000466790477 0 1.97950110792534 -0.000148369095676716
1747 0.44 1.95580632421165 0 1.98364082643245 0.000101485054649398
1725 0.45 1.95580632421165 0 1.98776240451346 0.000368401346030496
1704 0.46 1.9803163780651 0 1.99186348014201 0.000651382384115922
1683 0.47 2.0404408493754 0 1.99594169129173 0.000949430774555021
1663 0.48 2.0404408493754 0 1.99999467593625 0.00126154912299714
1643 0.49 2.00108813846304 0 2.00402007204919 0.00158674003509163
1624 0.5 2.00108813846304 0 2.00801551760417 0.00192400611648783
1605 0.51 1.95968341622281 0 2.01197865057484 0.00227234997283509
1586 0.52 1.95968341622281 0 2.01590710893481 0.00263077420978275
1568 0.53 2.01249293601668 0 2.01979853065772 0.00299828143298016
1550 0.54 2.01249293601668 0 2.02365055371719 0.00337387424807666
1532 0.55 2.01249293601668 0 2.02746081608684 0.00375655526072161
1515 0.56 2.01249293601668 0 2.03122695574032 0.00414532707656434
1498 0.57 2.01249293601668 0 2.03494661065124 0.0045391923012542
1482 0.58 2.08905947270822 0 2.03861741879323 0.00493715354044054
1466 0.59 2.08905947270822 0 2.04223701813992 0.00533821339977271
1451 0.6 2.05658752924792 0 2.04580304666494 0.00574137448490004
1436 0.61 2.05658752924792 0 2.04931314234192 0.00614563940147189
1421 0.62 2.05562563390472 0 2.05276494314449 0.0065500107551376
1407 0.63 2.05562563390472 0 2.05615608704626 0.00695349115154651
1392 0.64 2.05562563390472 0 2.0594846493277 0.00735525039227549
1379 0.65 2.05824493412053 0 2.06275045449659 0.00775512706261141
1365 0.66 2.10349782980428 0 2.06595376436753 0.00815312694376867
1352 0.67 2.10349782980428 0 2.06909484075512 0.00854925581696166
1339 0.68 2.10349782980428 0 2.07217394547397 0.00894351946340478
1326 0.69 2.10349782980428 0 2.07519134033868 0.00933592366431241
1314 0.7 2.15390137244033 0 2.07814728716386 0.00972647420089895
1302 0.71 2.1342631691536 0 2.08104204776412 0.0101151768543788
1290 0.72 2.1220493446545 0 2.08387588395404 0.0105020374059663
1278 0.73 2.1220493446545 0 2.08664905754825 0.010887061636876
1267 0.74 2.07285306207981 0 2.08936183036135 0.0112702553283221
1255 0.75 1.99059999181938 0 2.09201446420794 0.0116516242615191
1244 0.76 2.0394188045868 0 2.09460722090261 0.0120311742176814
1234 0.77 2.22005106995272 0 2.09714036225999 0.0124089109780233
1223 0.78 2.22005106995272 0 2.09961415009468 0.0127848403237593
1213 0.79 2.39602314407018 0 2.10202884622127 0.0131589680361037
1203 0.8 2.39602314407018 0 2.10438471245438 0.013531299896271
1193 0.81 2.37729352360663 0 2.1066820106086 0.0139018416854755
1183 0.82 2.37729352360663 0 2.10892100249855 0.0142705991849317
1173 0.83 2.24661148382618 0.0212839933830959 2.11110194993882 0.0146375781758538
1164 0.84 2.22126824509 0.0255234202308497 2.11322511474402 0.0150027844394564
1155 0.85 2.22126824509 0.0255234202308497 2.11529075872876 0.0153662237569538
1146 0.86 2.15567885415099 0.038794678090069 2.11729914370765 0.0157279019095604
1137 0.87 2.14083912501523 0.0446500521257627 2.11925053149527 0.0160878246784906
1128 0.88 2.14083912501523 0.0446500521257627 2.12114518390625 0.0164459978449588
1119 0.89 2.14083912501523 0.0446500521257627 2.12298336275518 0.0168024271901794
1111 0.9 2.14083912501523 0.0446500521257627 2.12476532985667 0.0171571184953667
1103 0.91 2.24230129152789 0.0217036402747435 2.12649134702532 0.0175100775417352
1094 0.92 2.24230129152789 0.0217036402747435 2.12816167607574 0.0178613101104993
1086 0.93 2.24230129152789 0.0217036402747435 2.12977657882254 0.0182108219828733
1079 0.94 2.24230129152789 0.0217036402747435 2.13133631708031 0.0185586189400716
1071 0.95 2.24375164090497 0.00940640049404765 2.13284115266366 0.0189047067633088
1063 0.96 2.24375164090497 0.00940640049404765 2.13429134738721 0.019249091233799
1056 0.97 2.23115659399979 0 2.13568716306554 0.0195917781327568
1048 0.98 2.22547631710716 0 2.13702886151326 0.0199327732413965
1041 0.99 2.22547631710716 0 2.13831670454499 0.0202720823409325
1034 1 2.22547631710716 0 2.13955095397532 0.0206097112125792
967.7 1.1 2.40129139636124 0 2.14900339941491 0.0238948592623017
910.6 1.2 2.31574106877812 0 2.15338448078002 0.0270183438589273
860.5 1.3 2.28423112880486 0 2.15295601267523 0.0299859462168494
816.3 1.4 2.35556328420485 0 2.14797980970512 0.032803447550461
777.1 1.5 2.26672628197775 0 2.13871768647427 0.0354766290741553
741.7 1.6 2.21795709697836 0.00827149595281982 2.12543145758726 0.0380112720023256
709.7 1.7 2.28979740031193 0 2.10838293764867 0.040413157549365
680.7 1.8 2.17467232371266 0 2.08783394126308 0.0426880669296667
654.3 1.9 2.08275878401142 0 2.06404628303507 0.0448417813576239
630.1 2 1.71400591443443 0.0755667491003474 2.03728177756923 0.0468800820476298
607.8 2.1 1.72490850561546 0.0702381002138345 2.00780223947012 0.0488087502140775
587.3 2.2 1.76187524232548 0.06293027642002 1.97586948334233 0.0506335670713603
568.2 2.3 2.12423087650404 0.0046690188976396 1.94174532379045 0.0523603138338713
550.5 2.4 1.83820949730281 0.0550268586010735 1.90569157541905 0.0539947717160038
534 2.5 1.87425820688793 0.0598324075042166 1.8679700528327 0.0555427219321509
