"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
1852 0.01 0.964484917975784 0.0658988461161746 0.55426502192925 0.122641935722089
2752 0.02 0.73182343645117 0.147562536412693 0.567452604935619 0.118395594498764
3479 0.03 0.68054426970142 0.101904247942266 0.58009436231542 0.114335386534941
4101 0.04 0.597106527751024 0.120010006566608 0.592199724928157 0.110458106759683
4652 0.05 0.61051037168783 0.0917538852529152 0.603778123633338 0.106760550102052
5145 0.06 0.624185258366211 0.0861163680778237 0.614838989290469 0.103239511491111
5589 0.07 0.624185258366211 0.0861163680778237 0.625391752759056 0.099891785855922
5991 0.08 0.624185258366211 0.0861163680778237 0.635445844898606 0.096714168125548
6354 0.09 0.624185258366211 0.0861163680778237 0.645010696568624 0.093703453229051
6682 0.1 0.624185258366211 0.0861163680778237 0.654095738628618 0.0908564360954937
6977 0.11 0.624185258366211 0.0861163680778237 0.662710401938093 0.0881699116539383
7242 0.12 0.624185258366211 0.0861163680778237 0.670864117356556 0.0856406748334475
7479 0.13 0.624185258366211 0.0861163680778237 0.678566315743512 0.0832655205630836
7689 0.14 0.624185258366211 0.0861163680778237 0.68582642795847 0.0810412437719092
7876 0.15 0.624185258366211 0.0861163680778237 0.692653884860933 0.0789646393889865
8041 0.16 0.624185258366211 0.0861163680778237 0.69905811731041 0.0770325023433782
8185 0.17 0.624185258366211 0.0861163680778237 0.705048556166405 0.0752416275641466
8311 0.18 0.624185258366211 0.0861163680778237 0.710634632288427 0.0735888099803542
8420 0.19 0.624185258366211 0.0861163680778237 0.71582577653598 0.0720708445210635
8513 0.2 0.624185258366211 0.0861163680778237 0.720631419768571 0.0706845261153368
8592 0.21 0.624185258366211 0.0861163680778237 0.725060992845707 0.0694266496922367
8658 0.22 0.624185258366211 0.0861163680778237 0.729123926626893 0.0682940101808256
8713 0.23 0.624185258366211 0.0861163680778237 0.732829651971636 0.067283402510166
8758 0.24 0.624185258366211 0.0861163680778237 0.736187599739443 0.0663916216093202
8793 0.25 0.624185258366211 0.0861163680778237 0.739207200789819 0.0656154624073508
8817 0.26 0.624185258366211 0.0861163680778237 0.741897885982271 0.0649517198333202
8831 0.27 0.624185258366211 0.0861163680778237 0.744269086176305 0.0643971888162909
8836 0.28 0.624185258366211 0.0861163680778237 0.746330232231428 0.0639486642853253
8833 0.29 0.624185258366211 0.0861163680778237 0.748090755007146 0.0636029411694858
8824 0.3 0.624185258366211 0.0861163680778237 0.749560085362965 0.0633568143978349
8809 0.31 0.624185258366211 0.0861163680778237 0.750747654158391 0.0632070788994351
8791 0.32 0.648237381157218 0.0795700214522408 0.751662892252931 0.0631505296033488
8769 0.33 0.648237381157218 0.0795700214522408 0.752315230506091 0.0631839614386385
8743 0.34 0.648237381157218 0.0795700214522408 0.752714099777378 0.0633041693343665
