"LET" "Energy" "Alpha" "Sqrt(Beta)" "Alpha_Fit" "Beta_Fit"
2161 0.01 0.543492807867601 0.180526824885952 0.504206945362083 0.12189201400141
3267 0.02 0.5372280362419 0.131290626736023 0.517659140833604 0.118622324500932
4194 0.03 0.595125799733015 0.120800530750602 0.530608025478133 0.115488460498971
5014 0.04 0.62220455898916 0.0869068813187809 0.543062073626367 0.112488111861299
5757 0.05 0.62220455898916 0.0869068813187809 0.555029759609008 0.109618968453685
6437 0.06 0.62220455898916 0.0869068813187809 0.566519557756755 0.106878720141902
7064 0.07 0.62220455898916 0.0869068813187809 0.577539942400308 0.104265056791721
7641 0.08 0.62220455898916 0.0869068813187809 0.588099387870367 0.101775668268912
8171 0.09 0.62220455898916 0.0869068813187809 0.598206368497631 0.0994082444392464
8658 0.1 0.62220455898916 0.0869068813187809 0.6078693586128 0.0971604751684957
9104 0.11 0.62220455898916 0.0869068813187809 0.617096832546574 0.0950300503224306
9510 0.12 0.62220455898916 0.0869068813187809 0.625897264629652 0.0930146597668224
9880 0.13 0.62220455898916 0.0869068813187809 0.634279129192735 0.0911119933674421
10220 0.14 0.62220455898916 0.0869068813187809 0.642250900566522 0.0893197409900608
10520 0.15 0.62220455898916 0.0869068813187809 0.649821053081713 0.0876355925004495
10790 0.16 0.62220455898916 0.0869068813187809 0.656998061069008 0.0860572377643793
11030 0.17 0.62220455898916 0.0869068813187809 0.663790398859107 0.0845823666476213
11250 0.18 0.62220455898916 0.0869068813187809 0.670206540782708 0.0832086690159466
11440 0.19 0.62220455898916 0.0869068813187809 0.676254961170513 0.0819338347351261
11610 0.2 0.62220455898916 0.0869068813187809 0.68194413435322 0.0807555536709311
11760 0.21 0.62220455898916 0.0869068813187809 0.68728253466153 0.0796715156891326
11890 0.22 0.62220455898916 0.0869068813187809 0.692278636426143 0.0786794106555015
12010 0.23 0.62220455898916 0.0869068813187809 0.696940913977757 0.0777769284358092
12110 0.24 0.62220455898916 0.0869068813187809 0.701277841647074 0.0769617588958265
12190 0.25 0.62220455898916 0.0869068813187809 0.705297893764791 0.0762315919013246
12260 0.26 0.62220455898916 0.0869068813187809 0.709009544661611 0.0755841173180745
12310 0.27 0.62220455898916 0.0869068813187809 0.712421268668231 0.0750170250118473
12340 0.28 0.62220455898916 0.0869068813187809 0.715541540115353 0.0745280048484142
12370 0.29 0.62220455898916 0.0869068813187809 0.718378833333675 0.074114746693546
12390 0.3 0.62220455898916 0.0869068813187809 0.720941622653898 0.0737749404130141
12390 0.31 0.62220455898916 0.0869068813187809 0.723238382406721 0.0735062758725893
12390 0.32 0.646256654670619 0.0803605369993499 0.725277586922843 0.0733064429380428
12390 0.33 0.646256654670619 0.0803605369993499 0.727067710532966 0.0731731314751457
12370 0.34 0.646256654670619 0.0803605369993499 0.728617227567788 0.073104031349669
12360 0.35 0.646256654670619 0.0803605369993499 0.72993461235801 0.0730968324273838
12340 0.36 0.646256654670619 0.0803605369993499 0.731028339234331 0.0731492245740612
12310 0.37 0.646256654670619 0.0803605369993499 0.73190688252745 0.0732588976554723
12280 0.38 0.646256654670619 0.0803605369993499 0.732578716568068 0.073423541537388
12250 0.39 0.646256654670619 0.0803605369993499 0.733052315686885 0.0736408460855796
12220 0.4 0.646256654670619 0.0803605369993499 0.7333361542146 0.073908501165818
12190 0.41 0.646256654670619 0.0803605369993499 0.733438706481912 0.0742241966438744
12150 0.42 0.712884563428733 0.060783644761445 0.733368446819523 0.0745856223855198
12110 0.43 0.712884563428733 0.060783644761445 0.733133849558131 0.0749904682565253
12070 0.44 0.712884563428733 0.060783644761445 0.732743389028436 0.075436424122662
12030 0.45 0.712884563428733 0.060783644761445 0.732205539561138 0.0759211798497008
11990 0.46 0.765791630856726 0.0446210310372367 0.731528775486936 0.0764424253034131
11950 0.47 0.784842590132375 0.0584872173339607 0.730721571136532 0.0769978503495697
11900 0.48 0.784842590132375 0.0584872173339607 0.729792400840623 0.0775851448539417
11860 0.49 0.784842590132375 0.0584872173339607 0.728749738929911 0.0782019986823003
11810 0.5 0.784842590132375 0.0584872173339607 0.727602059735095 0.0788461017004165
11770 0.51 0.731654373246349 0.06916668085377 0.726357837586874 0.0795151437740614
11720 0.52 0.731654373246349 0.06916668085377 0.725025546815948 0.080206814769006
11670 0.53 0.731654373246349 0.06916668085377 0.723613661753018 0.0809188045510215
11630 0.54 0.731654373246349 0.06916668085377 0.722130656728783 0.0816488029858788
11580 0.55 0.731654373246349 0.06916668085377 0.720585006073942 0.0823944999393492
11540 0.56 0.731654373246349 0.06916668085377 0.718985184119196 0.0831535852772036
11490 0.57 0.731654373246349 0.06916668085377 0.717339665195244 0.083923748865213
11450 0.58 0.742155442564061 0.0750457857157391 0.715656923632785 0.0847026805691487
11410 0.59 0.742155442564061 0.0750457857157391 0.713945433762521 0.0854880702547817
11360 0.6 0.697881650936516 0.087395338503737 0.71221366991515 0.086277607787883
11320 0.61 0.697881650936516 0.087395338503737 0.710470106421373 0.0870689830342237
11280 0.62 0.697881650936516 0.087395338503737 0.708723217611888 0.0878598858595749
11230 0.63 0.697881650936516 0.087395338503737 0.706981477817396 0.0886480061297077
11190 0.64 0.697881650936516 0.087395338503737 0.705251940728685 0.0894314216305715
11150 0.65 0.714812544662184 0.0815342698464362 0.703535977476897 0.090209761828829
11110 0.66 0.714812544662184 0.0815342698464362 0.701833538553261 0.0909830441113216
11070 0.67 0.714812544662184 0.0815342698464362 0.700144574449008 0.0917512858648904
11030 0.68 0.714812544662184 0.0815342698464362 0.698469035655367 0.0925145044763766
10990 0.69 0.714812544662184 0.0815342698464362 0.696806872663567 0.0932727173326212
10950 0.7 0.813298388033374 0.0615529054959328 0.69515803596484 0.0940259418204656
10910 0.71 0.813298388033374 0.0615529054959328 0.693522476050414 0.0947741953267509
10870 0.72 0.818958671233593 0.0582293407900384 0.691900143411521 0.0955174952383183
10830 0.73 0.818958671233593 0.0582293407900384 0.690290988539388 0.096255858942009
10790 0.74 0.761986809780231 0.0703984707578248 0.688694961925248 0.0969893038246642
10760 0.75 0.729961043321577 0.0787121617635984 0.687112014060329 0.097717847273125
10720 0.76 0.729961043321577 0.0787121617635984 0.685542095435861 0.0984415066742325
10680 0.77 0.701299319674228 0.126916998843226 0.683985156543074 0.0991602994148282
10640 0.78 0.701299319674228 0.126916998843226 0.682441147873199 0.099874242881753
10610 0.79 0.831370585261541 0.0971948059897356 0.680910019917465 0.100583354461848
10570 0.8 0.831370585261541 0.0971948059897356 0.679391723167102 0.101287651541955
10540 0.81 0.792623194125459 0.107478068377932 0.677886208113339 0.101987151508914
10500 0.82 0.792623194125459 0.107478068377932 0.676393425247407 0.102681871749568
10470 0.83 0.710926222654066 0.132421586773356 0.674913325060536 0.103371829650756
10430 0.84 0.677468240374701 0.141146544253254 0.673445858043955 0.104057042599321
10400 0.85 0.677468240374701 0.141146544253254 0.671990974688895 0.104737527982103
10360 0.86 0.677326454339639 0.141250495773041 0.670548625486585 0.105413303185944
10330 0.87 0.667568025822849 0.145158763359914 0.669118760928255 0.106084385597685
10300 0.88 0.667568025822849 0.145158763359914 0.667701331505136 0.106750792604166
10260 0.89 0.667568025822849 0.145158763359914 0.666296287708456 0.10741254159223
10230 0.9 0.667568025822849 0.145158763359914 0.664903580029446 0.108069649948718
10200 0.91 0.684838811339777 0.141974757212365 0.663523158959336 0.108722135060469
10170 0.92 0.684838811339777 0.141974757212365 0.662154974989356 0.109370014314327
10130 0.93 0.684838811339777 0.141974757212365 0.660798978610736 0.110013305097131
10100 0.94 0.684838811339777 0.141974757212365 0.659455120314704 0.110652024795724
10070 0.95 0.684838811339777 0.141974757212365 0.658123350592492 0.111286190796946
10040 0.96 0.684838811339777 0.141974757212365 0.65680361993533 0.111915820487638
10010 0.97 0.672710542636909 0.132234838765038 0.655495878834447 0.112540931254642
9977 0.98 0.672710542636909 0.132234838765038 0.654200077781073 0.113161540484799
9947 0.99 0.672710542636909 0.132234838765038 0.652916167266438 0.11377766556495
9916 1 0.672710542636909 0.132234838765038 0.651644097781771 0.114389323881936
